trade_type,entry_time,entry_price,exit_time,exit_price,size,gross_pnl_inr,swap_charges_inr,fees_inr,mae_inr,net_pnl_inr,margin_inr,status
SHORT_ORIG,2023-06-07 07:00:00,25.44936,2023-06-07 07:00:00,24.44936,0.01000,4400.00000,0.00000,88.74000,0.00000,4311.26000,79.46000,CLOSED_TP_SAME_CANDLE
LONG,2023-06-07 07:00:00,23.44936,2023-06-07 13:45:00,23.94936,0.01000,2200.00000,-0.00000,88.74000,207.52160,2111.26000,79.46000,CLOSED_TP
SHORT_ORIG,2023-06-07 16:15:00,25.44936,2023-06-07 16:15:00,24.44936,0.01000,4400.00000,0.00000,88.74000,0.00000,4311.26000,79.46000,CLOSED_TP_SAME_CANDLE
LONG,2023-06-07 16:15:00,23.44936,2023-06-08 13:15:00,23.94936,0.01000,2200.00000,-19.97000,88.74000,128.32160,2091.29000,79.46000,CLOSED_TP
SHORT_ORIG,2023-06-12 01:15:00,26.12298,2023-06-12 01:15:00,25.12298,0.01000,4400.00000,0.00000,88.74000,0.00000,4311.26000,79.46000,CLOSED_TP_SAME_CANDLE
SHORT_ORIG,2023-06-13 14:00:00,25.96577,2023-06-13 14:00:00,24.96577,0.01000,4400.00000,0.00000,88.74000,0.00000,4311.26000,79.46000,CLOSED_TP_SAME_CANDLE
SHORT_ORIG,2023-06-15 07:00:00,25.40648,2023-06-15 07:00:00,24.40648,0.01000,4400.00000,0.00000,88.74000,0.00000,4311.26000,79.46000,CLOSED_TP_SAME_CANDLE
LONG,2023-06-15 07:00:00,23.40648,2023-06-16 01:00:00,23.90648,0.01000,2200.00000,-19.97000,88.74000,810.82980,2091.29000,79.46000,CLOSED_TP
SHORT_ORIG,2023-06-19 09:45:00,25.97671,2023-06-19 09:45:00,24.97671,0.01000,4400.00000,0.00000,88.74000,0.00000,4311.26000,79.46000,CLOSED_TP_SAME_CANDLE
SHORT_ORIG,2023-06-20 01:45:00,25.88020,2023-06-20 01:45:00,24.88020,0.01000,4400.00000,0.00000,88.74000,0.00000,4311.26000,79.46000,CLOSED_TP_SAME_CANDLE
SHORT_ORIG,2023-06-20 13:15:00,25.38020,2023-06-20 13:15:00,24.38020,0.01000,4400.00000,0.00000,88.74000,0.00000,4311.26000,79.46000,CLOSED_TP_SAME_CANDLE
SHORT_ORIG,2023-06-22 13:45:00,24.41168,2023-06-22 13:45:00,23.41168,0.01000,4400.00000,0.00000,88.74000,0.00000,4311.26000,79.46000,CLOSED_TP_SAME_CANDLE
SHORT_ORIG,2023-06-23 02:00:00,24.11805,2023-06-23 02:00:00,23.11805,0.01000,4400.00000,0.00000,88.74000,0.00000,4311.26000,79.46000,CLOSED_TP_SAME_CANDLE
LONG,2023-06-23 02:00:00,22.11805,2023-06-23 13:45:00,22.61805,0.01000,2200.00000,-0.00000,88.74000,65.35760,2111.26000,79.46000,CLOSED_TP
LONG,2023-06-22 13:45:00,22.41168,2023-06-27 01:45:00,22.91168,0.01000,2200.00000,-99.85000,88.74000,1357.30540,2011.41000,79.46000,CLOSED_TP
SHORT_ORIG,2023-06-28 07:45:00,24.74291,2023-06-28 07:45:00,23.74291,0.01000,4400.00000,0.00000,88.74000,0.00000,4311.26000,79.46000,CLOSED_TP_SAME_CANDLE
SHORT_ORIG,2023-06-29 12:30:00,24.60958,2023-06-29 12:30:00,23.60958,0.01000,4400.00000,0.00000,88.74000,0.00000,4311.26000,79.46000,CLOSED_TP_SAME_CANDLE
SHORT_ORIG,2023-06-30 07:15:00,24.47028,2023-06-30 07:15:00,23.47028,0.01000,4400.00000,0.00000,88.74000,0.00000,4311.26000,79.46000,CLOSED_TP_SAME_CANDLE
LONG,2023-06-30 07:15:00,22.47028,2023-07-03 13:15:00,22.97028,0.01000,2200.00000,-59.91000,88.74000,562.68960,2051.35000,79.46000,CLOSED_TP
SHORT_ORIG,2023-07-05 06:15:00,24.85634,2023-07-05 06:15:00,23.85634,0.01000,4400.00000,0.00000,88.74000,0.00000,4311.26000,79.46000,CLOSED_TP_SAME_CANDLE
LONG,2023-06-29 12:30:00,22.60958,2023-07-05 13:00:00,23.10958,0.01000,2200.00000,-119.82000,88.74000,1458.08960,1991.44000,79.46000,CLOSED_TP
LONG,2023-06-28 07:45:00,22.74291,2023-07-05 13:15:00,23.24291,0.01000,2200.00000,-139.79000,88.74000,2044.74160,1971.47000,79.46000,CLOSED_TP
