Maximum number of trades open at a single point: 50\n\nCluster Size,Times Formed,Max MAE Sum,Avg PnL Sum,Max PnL Sum,Min Positive PnL,Max Loss Sum,Min Loss Sum
1,16,30956.74,1720.52,2500.00,872.00,-4757.74,-4757.74
2,17,61045.24,2711.15,4956.00,1744.00,-8647.24,-8647.24
3,19,90728.38,2482.43,7434.00,2704.00,-11031.24,-8458.19
4,24,120034.92,4180.75,9824.00,3686.00,-13261.24,-7401.09
5,27,149255.15,4731.51,12280.00,4778.00,-15491.24,-5475.94
6,28,178076.44,4282.82,14736.00,5892.00,-16247.24,-2975.94
7,24,206523.02,7446.64,17192.00,7072.00,-17003.24,-1339.24
8,27,234877.84,5566.68,19670.00,1050.76,-17561.24,-12281.24
9,25,262476.46,4656.58,22170.00,3550.76,-18009.24,-11145.24
10,23,289976.10,5061.67,23372.00,6050.76,-18435.24,-8689.24
11,22,316723.34,7073.71,25828.00,8550.76,-18861.24,-6189.24
12,21,343079.70,7092.46,28306.00,13258.00,-19287.24,-5295.24
13,23,368718.17,5259.27,30784.00,14504.00,-19119.24,-2905.24
14,26,394229.39,9176.55,33240.00,16300.00,-18951.24,-515.24
15,21,418895.48,9265.32,32110.00,1896.76,-18761.24,-4197.24
16,24,442716.43,10281.10,34588.00,4308.76,-18461.24,-2137.24
17,20,465692.24,13280.38,36934.00,6720.76,-18161.24,-77.24
18,18,487822.92,12279.94,38246.00,750.76,-17861.24,-6531.24
19,25,509108.46,9815.82,40614.00,2414.76,-17363.24,-3701.24
20,32,529548.86,9439.63,43114.00,4320.76,-16865.24,-1531.24
21,28,549144.12,4246.49,32348.00,440.76,-16301.24,-10581.24
22,30,567894.24,7349.30,34034.00,2764.76,-14989.24,-8367.24
23,29,585799.23,6796.66,36248.00,5110.76,-13677.24,-5889.24
24,33,602859.08,8427.19,38528.00,7456.76,-12365.24,-3389.24
25,40,619771.40,14396.89,40962.00,9824.76,-10943.24,-911.24
26,41,635886.04,17470.24,43396.00,1588.76,-9521.24,-2679.24
27,32,651203.00,23903.17,45852.00,14582.76,-8077.24,-5041.24
28,31,665722.28,23079.03,48308.00,16994.76,-6633.24,-2585.24
29,29,679443.88,26280.34,50764.00,19428.76,-4881.24,-107.24
30,32,692367.80,23618.84,53220.00,786.76,-3063.24,-1193.24
31,37,704494.04,25684.32,55698.00,250.76,-1223.24,-1223.24
32,36,715822.60,22715.74,58176.00,638.76,N/A,N/A
33,29,726353.48,17533.32,60676.00,2500.76,N/A,N/A
34,27,736086.68,22403.29,59634.00,4384.76,N/A,N/A
35,25,745022.20,29184.23,62134.00,6378.76,N/A,N/A
36,23,753160.04,32946.10,64612.00,8394.76,N/A,N/A
37,18,760500.20,37297.58,67090.00,10476.76,N/A,N/A
38,12,767042.68,46741.22,67742.00,12558.76,N/A,N/A
39,13,772787.48,46109.18,70220.00,14640.76,N/A,N/A
40,11,777734.60,50718.71,72698.00,16832.76,N/A,N/A
41,9,783060.15,48341.76,74934.00,19266.76,N/A,N/A
42,6,787646.24,37068.97,77258.00,21304.76,N/A,N/A
43,5,791492.87,31425.57,60874.76,23584.76,N/A,N/A
44,5,794600.05,33797.97,63352.76,25864.76,N/A,N/A
45,5,796967.78,36011.97,65830.76,28210.76,N/A,N/A
46,4,798596.05,49465.76,68308.76,30622.76,N/A,N/A
47,3,799484.86,45618.76,70786.76,33034.76,N/A,N/A
48,3,799753.41,48074.76,73286.76,35468.76,N/A,N/A
49,2,660369.25,37902.76,37902.76,37902.76,N/A,N/A
50,1,660455.72,40358.76,40358.76,40358.76,N/A,N/A
